slice	mode	commit	xrdp_total	xrdp_pass	result
126	default	9417122630b0161832ab38db973fb321a1f2f79b	31	31	PASS
127	default	b1293ffad32cbb786e4a271d45f2631525e5937b	31	31	PASS
127	trace	b1293ffad32cbb786e4a271d45f2631525e5937b	31	31	PASS
128	default	1364cf8019fc1522c8345debc6e5b4bd869c4975	37	37	PASS
128	trace	1364cf8019fc1522c8345debc6e5b4bd869c4975	37	37	PASS
129	default	36eda78d65b15944541294b393fe4034f6e97057	48	48	PASS
129	trace	36eda78d65b15944541294b393fe4034f6e97057	48	48	PASS
130	default	192d2515a63314056a68e1f96ada9f985ff0d188	54	54	PASS
130	trace	192d2515a63314056a68e1f96ada9f985ff0d188	54	54	PASS
131	default	0bbba915450506c30f56c6b53b45144f48943589	66	66	PASS
131	trace	0bbba915450506c30f56c6b53b45144f48943589	66	66	PASS
132	default	19712922672bf43522ab4d36670de62c5d245824	73	73	PASS
132	trace	19712922672bf43522ab4d36670de62c5d245824	73	73	PASS
133	default	8cec0977d247538d4b9f837e358461a1338e7a16	87	87	PASS
133	trace	8cec0977d247538d4b9f837e358461a1338e7a16	87	87	PASS
134	default	d26748ed27daffc74c50b1bbdf7c4c5ed05881b2	92	92	PASS
134	trace	d26748ed27daffc74c50b1bbdf7c4c5ed05881b2	92	92	PASS
135	default	59a898028ab1e48bc4622056142c07c39a99c7df	100	100	PASS
135	trace	59a898028ab1e48bc4622056142c07c39a99c7df	100	100	PASS
136	default	be9a3f71ca3266a98924a9bbabf9f81d49eb8bef	107	107	PASS
136	trace	be9a3f71ca3266a98924a9bbabf9f81d49eb8bef	107	107	PASS
137	default	c97dde4923fda88b958b7bece59df209701e401c	114	114	PASS
137	trace	c97dde4923fda88b958b7bece59df209701e401c	114	114	PASS
138	default	f1283729cd83ce7e49b4b451597e8e1676e83034	146	146	PASS
138	trace	f1283729cd83ce7e49b4b451597e8e1676e83034	146	146	PASS
139	default	a0c171caee2b84e68b875d6e10ae7e4684d0c8dd	155	155	PASS
139	trace	a0c171caee2b84e68b875d6e10ae7e4684d0c8dd	155	155	PASS
140	default	ed6db7a434c37ac50da46c7fdab0ee8d496aa102	176	176	PASS
140	trace	ed6db7a434c37ac50da46c7fdab0ee8d496aa102	176	176	PASS
141	default	585c9b8e323d5d8ee23ef452fe9112b6489870fe	187	187	PASS
141	trace	585c9b8e323d5d8ee23ef452fe9112b6489870fe	187	187	PASS
142	default	b38c63473c5297250af325d2770c5219ede69d48	203	203	PASS
142	trace	b38c63473c5297250af325d2770c5219ede69d48	203	203	PASS
