# textflood 3840x2400 step=25 epoch_ms=1785580824692.086 mono_ms=1615431319.360
frame	loop_start_ms	render_ms	blit_ms	sync_ms
149	1615433632.248	12.997	0.001	3.193
150	1615433648.445	12.368	0.001	2.424
151	1615433663.246	13.292	0.001	2.273
152	1615433678.820	13.206	0.001	2.238
153	1615433694.269	12.393	0.000	2.346
154	1615433709.017	13.333	0.001	2.346
155	1615433724.701	12.146	0.001	2.079
156	1615433738.931	13.206	0.001	2.032
157	1615433754.173	12.264	0.001	2.140
158	1615433768.583	12.999	0.001	2.140
159	1615433783.729	14.008	0.001	2.094
160	1615433799.837	13.414	0.001	2.382
161	1615433815.713	13.746	0.001	1.991
162	1615433831.455	13.551	0.001	2.394
163	1615433847.405	14.074	0.001	2.084
164	1615433863.568	12.912	0.001	2.271
165	1615433878.757	13.570	0.001	2.019
166	1615433894.350	12.741	0.001	2.114
167	1615433909.209	12.849	0.001	3.379
168	1615433925.442	11.955	0.001	1.853
169	1615433939.256	11.890	0.001	5.312
170	1615433956.469	13.648	0.000	2.425
171	1615433972.552	11.776	0.002	2.445
172	1615433986.780	12.700	0.001	2.005
173	1615434001.490	11.516	0.001	2.261
174	1615434015.274	11.843	0.001	2.399
175	1615434029.528	14.571	0.004	2.457
176	1615434046.565	12.781	0.004	2.336
177	1615434061.719	17.172	0.004	2.528
178	1615434081.440	13.051	0.001	2.965
179	1615434097.464	14.308	0.002	2.195
180	1615434113.975	14.395	0.004	2.269
181	1615434130.652	12.753	0.001	2.128
182	1615434145.540	12.139	0.003	2.054
183	1615434159.746	12.506	0.001	1.959
184	1615434174.217	12.105	0.001	2.855
185	1615434189.186	11.587	0.001	1.872
186	1615434202.653	11.617	0.000	1.866
187	1615434216.142	11.961	0.001	2.824
188	1615434230.935	11.524	0.001	1.834
189	1615434244.301	11.457	0.001	3.081
190	1615434258.846	12.018	0.001	1.931
191	1615434272.802	11.937	0.001	1.882
192	1615434286.629	11.680	0.001	1.983
193	1615434303.683	12.390	0.001	2.149
194	1615434318.229	13.235	0.004	2.089
195	1615434333.566	11.232	0.002	2.309
196	1615434347.125	11.971	0.004	6.540
197	1615434365.651	12.278	0.003	2.050
198	1615434379.988	11.459	0.001	2.467
199	1615434393.931	12.358	0.001	1.973
200	1615434408.268	11.337	0.001	2.195
201	1615434421.809	11.809	0.001	3.187
202	1615434436.811	12.608	0.005	2.125
203	1615434451.558	13.288	0.002	2.494
204	1615434467.359	12.446	0.003	2.455
205	1615434482.275	11.898	0.001	2.702
206	1615434496.879	12.658	0.001	2.622
207	1615434512.168	13.228	0.001	2.581
208	1615434527.984	12.729	0.001	2.247
209	1615434543.567	13.480	0.001	2.854
210	1615434559.910	13.165	0.000	2.184
211	1615434575.264	13.896	0.001	2.827
212	1615434591.994	13.785	0.000	2.215
213	1615434608.002	14.146	0.001	2.849
214	1615434625.011	13.713	0.000	2.084
215	1615434640.814	14.142	0.001	2.129
216	1615434657.091	13.161	0.001	1.928
217	1615434672.184	13.593	0.001	3.767
218	1615434689.553	12.886	0.000	2.205
219	1615434704.651	12.840	0.001	2.324
220	1615434719.824	13.257	0.001	2.029
221	1615434735.115	13.063	0.001	2.021
222	1615434750.204	13.045	0.001	2.234
223	1615434765.487	12.747	0.002	2.623
224	1615434780.869	14.278	0.001	2.144
225	1615434797.790	12.361	0.000	2.066
226	1615434812.222	13.354	0.001	2.183
227	1615434827.766	12.751	0.001	1.985
228	1615434842.508	13.384	0.001	2.091
229	1615434857.988	12.031	0.001	2.258
230	1615434872.286	12.141	0.001	2.287
231	1615434886.723	12.512	0.000	2.356
232	1615434901.600	12.463	0.002	2.425
233	1615434916.498	11.891	0.003	1.935
234	1615434930.329	10.852	0.001	2.243
235	1615434943.429	11.592	0.000	5.243
236	1615434960.269	11.247	0.000	2.250
237	1615434973.771	13.331	0.001	2.171
238	1615434989.279	11.974	0.000	1.981
239	1615435003.239	12.381	0.000	2.080
240	1615435017.708	12.989	0.001	2.080
241	1615435032.806	12.973	0.001	2.204
242	1615435047.988	13.506	0.001	2.213
243	1615435063.713	12.624	0.001	2.638
244	1615435078.982	13.630	0.001	2.141
245	1615435094.758	12.326	0.001	2.195
246	1615435109.284	12.605	0.001	5.782
247	1615435127.690	14.314	0.003	2.361
248	1615435144.377	14.680	0.002	2.132
249	1615435161.198	11.695	0.001	2.282
250	1615435175.180	11.554	0.001	2.367
251	1615435189.106	11.981	0.001	2.226
252	1615435203.318	11.477	0.001	2.324
253	1615435217.129	12.885	0.004	2.639
254	1615435232.668	11.889	0.001	1.952
255	1615435246.513	12.187	0.001	2.937
256	1615435261.645	12.797	0.001	1.959
257	1615435276.711	14.094	0.003	2.893
258	1615435293.706	12.146	0.001	1.942
259	1615435307.799	12.305	0.001	2.462
260	1615435322.572	12.816	0.001	1.998
261	1615435337.391	12.042	0.001	1.857
262	1615435351.295	12.912	0.001	2.246
263	1615435366.457	12.458	0.001	2.136
264	1615435381.055	12.950	0.001	8.728
265	1615435402.742	16.703	0.002	2.113
266	1615435421.568	16.147	0.001	2.146
267	1615435439.866	13.493	0.001	2.002
268	1615435455.367	12.846	0.001	2.448
269	1615435470.679	16.559	0.004	2.340
270	1615435489.600	20.631	0.005	2.390
271	1615435512.644	14.040	0.001	2.260
272	1615435528.954	14.364	0.004	2.381
273	1615435545.752	14.395	0.001	2.354
274	1615435562.508	13.673	0.004	2.286
275	1615435578.481	13.578	0.001	3.435
276	1615435595.504	13.377	0.001	2.283
277	1615435611.170	13.435	0.001	2.384
278	1615435626.998	13.865	0.001	2.747
279	1615435643.622	15.364	0.003	2.446
280	1615435661.450	15.729	0.001	2.361
281	1615435679.546	14.521	0.001	2.185
282	1615435696.259	12.658	0.001	2.275
283	1615435711.199	13.270	0.001	2.026
284	1615435726.502	13.100	0.000	1.909
285	1615435741.515	12.471	0.001	2.132
286	1615435756.124	12.958	0.001	1.977
287	1615435771.066	12.250	0.001	1.967
288	1615435785.288	13.108	0.001	2.068
289	1615435800.487	11.921	0.001	1.961
290	1615435814.374	12.012	0.001	2.060
291	1615435828.451	11.852	0.001	2.000
292	1615435842.307	11.349	0.001	2.328
