NAME                         READY   STATUS    RESTARTS        AGE
xrdp-x013-5c46f4d6db-2bmlj   1/1     Running   1 (4d18h ago)   4d20h
xrdp-x014-84dbb77fc6-wggdt   1/1     Running   0               4d18h
xrdp-x015-64679c686-2qdtw    1/1     Running   0               4d16h
xrdp-x017-5cc89b487-dj4xw    1/1     Running   0               4d15h
xrdp-x018-7f9bd48555-pnk8k   1/1     Running   0               3d5h
xrdp-x019-57c6676486-s7fhw   1/1     Running   0               3d5h
xrdp-x020-7dd97875c4-cv749   1/1     Running   0               83s
xrdp-x021-d8549f574-m2pbz    1/1     Running   0               81s
