    PID    PPID     TID USER     COMMAND
   1859    1577    1932 root     ffmpeg
   1859    1577    1933 root     ffmpeg
   1859    1577    1934 root     ffmpeg
   1859    1577    1935 root     ffmpeg
   1859    1577    1936 root     ffmpeg
   1859    1577    1937 root     ffmpeg
   1859    1577    1938 root     ffmpeg
   1859    1577    1939 root     ffmpeg
   1859    1577    1940 root     ffmpeg
   1859    1577    1941 root     ffmpeg
   1859    1577    1942 root     ffmpeg
   1859    1577    1943 root     mux0:nut
   1950       0    1950 root     ps
