# textflood 3840x2160 step=25 epoch_ms=1785502285769.710 mono_ms=58627596.037
frame	loop_start_ms	render_ms	blit_ms	sync_ms
156	58639142.448	35.101	0.002	7.174
157	58639184.734	42.851	0.002	8.058
158	58639235.656	33.241	0.003	7.138
159	58639276.050	34.539	0.003	7.289
160	58639317.892	36.819	0.003	6.858
161	58639361.590	29.052	0.002	7.226
162	58639397.881	40.874	0.003	7.464
163	58639446.233	33.428	0.002	7.541
164	58639487.214	28.557	0.002	7.105
165	58639522.890	39.566	0.003	7.295
166	58639569.765	37.795	0.003	6.894
167	58639614.470	27.012	0.002	7.131
168	58639648.624	38.274	0.003	7.409
169	58639694.320	31.160	0.003	7.714
170	58639733.210	27.573	0.002	7.059
171	58639767.856	35.115	0.002	8.780
172	58639811.766	30.021	0.002	6.675
173	58639848.474	24.875	0.002	8.715
174	58639882.079	42.117	0.002	6.898
175	58639931.106	24.136	0.002	7.046
176	58639962.300	24.852	0.002	7.312
177	58639994.489	41.133	0.002	15.460
178	58640051.096	25.591	0.003	7.016
179	58640083.716	34.399	0.002	7.498
180	58640125.625	29.640	0.002	6.468
181	58640161.742	32.514	0.002	6.913
182	58640201.180	36.278	0.002	7.885
183	58640245.359	30.442	0.002	6.520
184	58640282.336	27.875	0.002	7.057
185	58640317.281	35.487	0.002	7.941
186	58640360.725	34.540	0.003	8.152
187	58640403.430	26.481	0.003	7.140
188	58640437.065	39.333	0.003	8.038
189	58640484.448	32.443	0.003	7.038
190	58640523.944	26.416	0.003	7.161
191	58640557.534	37.811	0.003	7.365
192	58640602.724	29.022	0.002	6.963
193	58640638.732	30.649	0.002	7.152
194	58640676.544	39.186	0.003	15.785
195	58640731.530	33.039	0.009	6.950
196	58640771.538	23.880	0.002	9.976
197	58640805.411	34.012	0.003	15.601
198	58640855.037	27.688	0.003	7.290
199	58640890.031	30.875	0.002	7.576
200	58640928.495	32.187	0.002	7.045
201	58640967.745	25.512	0.003	6.816
202	58641000.085	33.059	0.003	7.241
203	58641040.398	33.456	0.003	6.858
204	58641080.727	25.925	0.002	9.396
205	58641116.066	31.206	0.003	7.666
206	58641154.952	40.971	0.003	7.217
207	58641203.153	34.139	0.003	8.121
208	58641245.429	30.998	0.003	6.685
209	58641283.131	41.614	0.003	7.418
210	58641332.178	40.725	0.002	7.468
211	58641380.383	32.971	0.003	8.185
212	58641421.551	29.148	0.002	7.084
213	58641457.795	43.409	0.003	7.071
214	58641508.291	31.620	0.003	6.245
215	58641546.171	29.602	0.002	9.657
216	58641585.446	44.486	0.002	9.538
217	58641639.481	38.578	0.003	7.181
218	58641685.256	28.890	0.003	11.019
219	58641725.184	31.701	0.003	7.866
220	58641764.767	34.771	0.003	6.832
221	58641806.385	28.015	0.002	9.077
222	58641843.491	36.288	0.002	15.413
223	58641895.204	27.151	0.003	7.053
224	58641929.421	36.474	0.002	8.071
225	58641973.993	32.984	0.002	6.919
226	58642013.908	25.964	0.002	7.040
227	58642046.924	38.111	0.003	15.770
228	58642100.817	28.218	0.002	7.121
229	58642136.171	34.245	0.003	8.982
230	58642179.412	33.664	0.002	7.002
231	58642220.091	25.484	0.002	7.763
232	58642253.350	39.900	0.002	7.735
233	58642301.014	26.663	0.002	7.677
234	58642335.368	23.337	0.002	7.082
235	58642365.799	40.155	0.002	15.484
236	58642421.455	25.797	0.002	7.303
237	58642454.567	29.535	0.003	9.454
238	58642493.572	33.197	0.003	6.806
239	58642533.587	36.250	0.002	7.087
240	58642576.937	45.733	0.002	15.497
241	58642638.185	34.931	0.002	7.046
242	58642680.175	38.750	0.003	8.188
243	58642727.129	32.329	0.002	6.715
244	58642766.186	27.874	0.002	6.965
245	58642801.038	26.431	0.002	7.199
246	58642834.679	34.995	0.003	7.532
247	58642877.220	31.735	0.002	6.572
248	58642915.541	25.825	0.002	6.942
249	58642948.322	34.747	0.003	7.250
250	58642990.332	31.517	0.003	7.000
251	58643028.865	37.557	0.002	7.303
252	58643073.740	36.285	0.003	15.842
253	58643125.880	26.051	0.002	6.892
254	58643158.837	27.712	0.003	8.610
255	58643195.179	38.112	0.003	7.964
256	58643241.268	42.171	0.003	7.149
257	58643290.612	36.147	0.003	7.617
258	58643334.388	31.796	0.003	6.340
259	58643372.538	27.797	0.002	7.479
260	58643407.830	44.507	0.003	9.260
261	58643461.612	26.952	0.003	7.092
262	58643495.669	30.682	0.004	7.954
263	58643534.321	34.338	0.002	7.453
264	58643576.126	26.700	0.002	6.638
265	58643609.476	25.377	0.001	7.084
266	58643641.953	42.220	0.002	15.227
267	58643699.412	27.940	0.003	6.941
268	58643734.307	37.253	0.003	7.558
269	58643779.133	36.069	0.002	7.310
270	58643822.528	38.081	0.002	7.320
271	58643867.942	39.176	0.003	7.241
272	58643914.372	35.123	0.002	7.155
273	58643956.669	27.167	0.003	7.204
274	58643991.054	42.605	0.002	13.976
275	58644047.648	31.237	0.002	7.171
276	58644086.068	32.241	0.004	7.711
277	58644126.037	34.343	0.002	6.851
278	58644167.240	27.407	0.002	7.091
279	58644201.750	39.379	0.002	7.798
280	58644248.942	31.874	0.002	6.973
281	58644287.801	28.843	0.002	6.888
282	58644323.544	43.048	0.003	7.633
283	58644374.237	31.900	0.002	7.152
284	58644413.301	28.438	0.002	6.930
285	58644448.684	38.902	0.003	7.907
286	58644495.507	29.424	0.002	6.802
287	58644531.745	26.749	0.002	7.084
288	58644565.592	39.609	0.003	7.389
289	58644612.610	34.769	0.003	6.926
290	58644654.321	31.859	0.003	8.029
291	58644694.226	34.453	0.002	13.457
292	58644742.149	25.241	0.002	7.705
293	58644775.109	24.484	0.002	7.134
294	58644806.741	32.159	0.002	7.372
295	58644846.293	29.884	0.002	6.712
296	58644882.900	24.393	0.002	6.894
297	58644914.200	34.379	0.002	7.438
298	58644956.029	31.622	0.002	7.044
299	58644994.707	26.332	0.002	7.676
300	58645028.726	43.532	0.003	11.324
301	58645083.596	35.509	0.002	7.111
302	58645126.229	31.372	0.002	10.617
303	58645168.229	35.662	0.002	6.814
304	58645210.716	28.169	0.003	7.168
305	58645246.077	38.132	0.002	7.884
306	58645292.110	37.912	0.002	6.891
307	58645336.927	30.672	0.003	7.185
308	58645374.797	38.856	0.002	16.237
309	58645429.905	36.161	0.003	6.798
310	58645472.879	30.993	0.004	9.824
311	58645513.709	31.275	0.002	6.996
312	58645551.993	27.360	0.003	6.890
313	58645586.257	26.095	0.002	7.683
314	58645620.054	36.602	0.002	13.306
315	58645669.973	32.057	0.002	7.281
316	58645709.324	23.088	0.002	10.799
317	58645743.229	29.890	0.002	16.684
318	58645789.814	24.306	0.002	6.990
319	58645821.124	30.367	0.002	8.340
320	58645859.849	28.908	0.003	9.057
321	58645897.835	25.577	0.002	7.047
322	58645930.472	32.251	0.003	7.830
323	58645970.569	29.024	0.002	6.767
324	58646006.372	26.500	0.002	7.032
325	58646039.917	38.244	0.002	8.004
326	58646086.177	33.235	0.002	6.842
327	58646126.266	27.605	0.002	7.630
328	58646161.513	48.827	0.002	7.814
329	58646218.165	28.426	0.003	7.081
330	58646253.685	36.802	0.003	7.442
331	58646297.944	38.719	0.002	7.180
332	58646343.856	30.441	0.002	6.955
333	58646381.266	39.174	0.003	7.336
334	58646427.788	31.669	0.002	7.360
335	58646466.829	29.593	0.002	7.132
336	58646503.567	39.742	0.003	7.419
337	58646550.753	34.857	0.002	6.730
