# textflood 3840x2400 step=25 epoch_ms=1785580499988.244 mono_ms=1615106615.519
frame	loop_start_ms	render_ms	blit_ms	sync_ms
0	1615106615.540	27.365	0.005	10.718
1	1615106654.389	17.098	0.001	2.397
2	1615106673.896	16.583	0.001	2.356
3	1615106692.847	16.257	0.001	2.254
4	1615106711.366	16.852	0.002	2.412
5	1615106730.652	16.590	0.002	2.266
6	1615106749.528	15.636	0.001	2.167
7	1615106767.340	15.838	0.000	2.261
8	1615106785.448	15.128	0.001	2.340
9	1615106802.925	14.984	0.001	2.270
10	1615106820.189	15.058	0.001	2.459
11	1615106837.726	15.013	0.002	2.241
12	1615106854.993	15.655	0.002	2.362
13	1615106873.031	14.907	0.002	2.292
14	1615106890.242	15.698	0.001	2.167
15	1615106908.116	15.489	0.000	2.238
16	1615106925.851	14.554	0.000	2.356
17	1615106943.268	13.542	0.000	2.338
18	1615106959.158	12.225	0.001	2.295
19	1615106973.688	12.565	0.001	2.110
20	1615106988.371	11.953	0.001	1.927
21	1615107002.258	11.966	0.000	2.238
22	1615107016.468	11.650	0.000	2.356
23	1615107030.494	11.971	0.003	2.341
24	1615107044.830	11.616	0.002	2.329
25	1615107058.800	11.737	0.001	2.292
26	1615107072.841	12.220	0.000	2.203
27	1615107087.271	12.976	0.001	2.308
28	1615107102.571	12.884	0.001	2.229
29	1615107117.694	12.821	0.002	2.290
30	1615107132.821	12.307	0.001	2.203
31	1615107147.342	12.508	0.002	2.258
32	1615107162.118	12.418	0.001	2.337
33	1615107177.352	13.015	0.001	2.383
34	1615107192.763	12.312	0.001	2.121
35	1615107207.204	12.050	0.000	2.320
36	1615107221.583	12.380	0.000	2.254
37	1615107236.228	13.034	0.001	2.085
38	1615107251.356	13.236	0.001	2.855
39	1615107267.455	13.922	0.001	2.378
40	1615107283.762	13.583	0.001	2.476
41	1615107299.832	13.618	0.001	2.277
42	1615107315.734	13.184	0.000	2.442
43	1615107331.370	13.836	0.001	2.019
44	1615107347.232	13.592	0.001	2.163
45	1615107362.995	12.732	0.001	2.248
46	1615107377.984	12.898	0.001	2.225
47	1615107393.116	12.698	0.001	2.043
48	1615107407.866	12.414	0.001	2.118
49	1615107422.525	12.579	0.000	2.000
50	1615107437.113	11.828	0.001	2.290
51	1615107451.237	11.440	0.000	2.215
52	1615107464.901	11.262	0.000	2.142
53	1615107478.313	11.129	0.001	2.269
54	1615107491.720	10.900	0.001	2.424
55	1615107505.067	11.669	0.003	2.353
56	1615107519.113	11.158	0.002	2.321
57	1615107532.603	11.818	0.002	2.358
58	1615107546.802	11.607	0.001	2.245
59	1615107560.663	11.960	0.001	2.333
60	1615107574.963	12.570	0.001	2.153
